,game_id,avg,obp,slug,obp_10,slug_10,log_5,PE,era_sp,whip_sp,era_bp,whip_bp,whip_10,home_win
0,634205.0,0.02400000000000002,-0.022999999999999965,0.040000000000000036,-0.02899999999999997,0.01599999999999996,0.44114830626820406,-0.21833922782537202,6.497,1.3279999999999998,1.0819999999999999,0.1120000000000001,0.06400000000000006,1
1,634211.0,0.0040000000000000036,0.013000000000000012,0.026000000000000023,0.03300000000000003,0.07999999999999996,0.5555160774560312,-0.06874965868882621,-0.45699999999999985,-0.17700000000000005,0.26900000000000013,0.10200000000000009,-0.18000000000000005,0
2,634175.0,-0.008000000000000007,0.013000000000000012,0.035999999999999976,-0.0010000000000000009,0.0030000000000000027,0.486,0.03351486856626712,-1.3560000000000003,-0.135,1.1669999999999998,0.23099999999999987,0.08400000000000007,1
3,634152.0,-0.023999999999999994,-0.02200000000000002,-0.09100000000000003,-0.049000000000000044,-0.09599999999999997,0.42661251407431233,-0.22640901834245697,4.807,0.6399999999999999,-0.5609999999999999,-0.139,0.09699999999999998,0
4,634176.0,-0.034,-0.03600000000000003,-0.063,-0.02200000000000002,-0.03400000000000003,0.3488850859392479,0.06424861553155314,1.6150000000000002,-0.1459999999999999,-0.4219999999999997,-0.16100000000000003,-0.543,1
5,634181.0,-0.010000000000000009,-0.006000000000000005,-0.02400000000000002,0.0,0.028000000000000025,0.5429302812232933,0.1632740037713571,-2.4,-0.40900000000000003,-1.6989999999999998,-0.22799999999999998,-0.19300000000000006,0
6,634157.0,0.00899999999999998,0.02100000000000002,0.03400000000000003,0.024999999999999967,-0.065,0.5433446768704738,-0.10562173515743079,3.024,0.1519999999999999,2.234,0.3230000000000002,0.377,1
7,634153.0,-0.031,-0.0040000000000000036,0.0,0.009000000000000008,-0.024999999999999967,0.613365155131265,0.05178054787663067,-0.482,-0.20199999999999996,-0.9249999999999998,-0.15700000000000003,-0.018000000000000016,1
8,634164.0,-0.03,-0.0020000000000000018,-0.0010000000000000009,0.02999999999999997,0.007000000000000006,0.6354365208038405,0.06388694038517462,-1.8949999999999996,-0.15799999999999992,-0.6120000000000001,-0.2340000000000001,-0.030000000000000027,1
9,634189.0,-0.010000000000000009,-0.02200000000000002,0.0,-0.009000000000000008,0.03799999999999998,0.5896185833094352,0.12367848110168855,-1.5550000000000002,0.2889999999999999,-0.9879999999999995,-0.2530000000000001,-0.04899999999999993,1
10,634174.0,-0.024999999999999994,-0.020000000000000018,-0.08200000000000002,-0.03200000000000003,-0.08500000000000002,0.4576512154101178,-0.16955947471211047,-2.1129999999999995,-0.345,1.3990000000000005,0.21199999999999997,-0.026000000000000023,1
11,634144.0,0.007000000000000006,0.019000000000000017,0.0010000000000000009,-0.0020000000000000018,-0.045999999999999985,0.39197995782263295,0.07753865157610174,0.06299999999999972,-0.026000000000000023,-0.47299999999999986,-0.062000000000000055,-0.20499999999999985,0
12,634179.0,-0.014999999999999986,-0.01200000000000001,-0.04400000000000004,0.055999999999999994,0.02400000000000002,0.33953786906290123,-0.15705325276611126,-2.231,-0.394,-0.27500000000000036,0.0129999999999999,0.10299999999999998,1
13,634170.0,-0.016000000000000014,0.01100000000000001,-0.05299999999999999,0.044999999999999984,-0.06999999999999995,0.634558569318289,-0.1142259018096593,0.78,0.345,-0.964,-0.1160000000000001,0.2630000000000001,1
14,634202.0,0.03900000000000001,0.015000000000000013,0.04099999999999998,-0.0050000000000000044,0.023999999999999966,0.5,-0.022349337533623892,0.6620000000000004,0.05899999999999994,-0.5089999999999999,0.02200000000000002,0.43400000000000005,0
15,634169.0,-0.01100000000000001,-0.026000000000000023,-0.019000000000000017,-0.05400000000000005,-0.041000000000000036,0.47092999943864833,0.07130444825977844,-2.4139999999999997,-0.34899999999999987,0.508,0.05699999999999994,0.09299999999999997,0
16,634163.0,-0.010999999999999982,0.006000000000000005,0.019000000000000017,-0.03199999999999997,-0.05199999999999999,0.4570697187767065,-0.24653160042510391,2.125,0.5149999999999999,-0.41000000000000014,0.018999999999999906,0.010999999999999899,0
17,634159.0,-0.026999999999999996,-0.015000000000000013,-0.03999999999999998,-0.014000000000000012,-0.07300000000000001,0.41595515448050163,-0.20061715934017244,0.03000000000000025,-0.31199999999999994,-0.4660000000000002,-0.123,-0.2619999999999999,0
18,634156.0,-0.0050000000000000044,-0.0020000000000000018,-0.017000000000000015,0.028000000000000025,0.09899999999999998,0.5706597028709733,0.13258625229319687,0.9939999999999998,-0.15100000000000002,-1.3789999999999996,-0.268,-0.1339999999999999,1
