game_id,avg,obp,slug,obp_10,slug_10,log_5,PE,era_sp,whip_sp,era_bp,whip_bp,whip_10,home_win
632244.0,-0.015000000000000013,0.0020000000000000018,-0.051000000000000045,0.04199999999999998,-0.01100000000000001,0.34293908768096154,-0.16457187387440947,1.9540000000000002,0.2290000000000001,0.6309999999999998,0.08199999999999985,0.44499999999999984,0
632256.0,-0.0020000000000000018,0.0010000000000000009,0.025000000000000022,0.006000000000000005,-0.04799999999999999,0.6633804612907852,-0.03353845798263422,-0.3640000000000003,-0.038999999999999924,-0.5509999999999997,-0.119,-0.0930000000000002,0
632263.0,-0.024999999999999994,-0.04299999999999998,-0.064,-0.03799999999999998,-0.10899999999999999,0.39546663693273226,-0.42796119174984637,1.4649999999999999,0.04400000000000004,0.504,0.007000000000000117,0.07200000000000006,1
632258.0,-0.015000000000000013,-0.019000000000000017,-0.069,0.0,-0.14100000000000001,0.37535598331166187,-0.1701471576160411,2.535,0.474,0.7869999999999999,0.14500000000000002,0.06899999999999995,1
632251.0,-0.0030000000000000027,-0.014000000000000012,-0.033999999999999975,0.028000000000000025,0.03600000000000003,0.3786300644364021,-0.055585882721502555,0.20000000000000018,0.20599999999999996,1.3100000000000005,0.10099999999999998,-0.15200000000000014,1
632249.0,0.020000000000000018,0.007000000000000006,0.025000000000000022,-0.03200000000000003,-0.0020000000000000018,0.5505778007962969,0.12262751649801618,-1.657,-0.365,-0.22999999999999998,0.06000000000000005,0.10499999999999998,1
632264.0,0.014000000000000012,-0.0040000000000000036,-0.020999999999999963,-0.026000000000000023,-0.02200000000000002,0.5131111828304018,0.020350275187985933,-1.9349999999999996,0.030999999999999917,0.21899999999999986,0.05600000000000005,-0.07599999999999985,0
632265.0,0.015000000000000013,0.025000000000000022,0.034999999999999976,0.022999999999999965,0.138,0.601161572883938,0.05173499177471985,-2.2750000000000004,-0.40900000000000003,-1.3730000000000002,-0.389,-0.34599999999999986,1
632257.0,0.008000000000000007,0.0,0.014000000000000012,-0.030999999999999972,0.08600000000000002,0.6221265782890462,0.3873999413825048,1.9099999999999997,0.43900000000000006,-1.8250000000000002,-0.252,0.03500000000000014,0
632262.0,0.0040000000000000036,-0.0010000000000000009,0.033999999999999975,0.0030000000000000027,-0.025999999999999968,0.5548683160415006,0.11536347447210404,-3.898,-0.42500000000000004,-0.262,-0.05799999999999983,-0.08600000000000008,1
632269.0,-0.0030000000000000027,0.0010000000000000009,-0.024999999999999967,-0.016000000000000014,0.023999999999999966,0.35413576467784547,-0.07711683444996514,-0.12100000000000044,-0.04600000000000004,0.20800000000000018,0.1180000000000001,-0.1409999999999998,1
632255.0,-0.014999999999999986,-0.0010000000000000009,-0.01799999999999996,-0.0020000000000000018,0.043999999999999984,0.5893793497950234,-0.14805314140410974,-0.5469999999999997,-0.133,-0.5379999999999998,-0.15399999999999991,0.05599999999999983,1
632260.0,0.019000000000000017,0.02100000000000002,0.040000000000000036,0.034999999999999976,0.18499999999999994,0.5612641541321616,0.11130012599797134,0.532,0.07800000000000007,-0.27200000000000024,-0.020999999999999908,-0.0040000000000000036,1
632234.0,-0.015000000000000013,0.0050000000000000044,-0.051000000000000045,0.03899999999999998,-0.039000000000000035,0.3373980573449343,-0.18031260267150795,0.21099999999999985,0.35199999999999987,0.6460000000000004,0.07299999999999995,0.504,0
632240.0,-0.014000000000000012,-0.019000000000000017,-0.07,-0.0010000000000000009,-0.15100000000000002,0.37056382398273124,-0.17631500266092126,4.6259999999999994,0.5880000000000001,0.6189999999999998,0.09299999999999997,-0.013000000000000123,0
632241.0,-0.0010000000000000009,0.0020000000000000018,0.026000000000000023,0.03500000000000003,-0.026000000000000023,0.668032134902959,-0.024029493176819905,-1.9320000000000004,-0.377,-0.964,-0.16100000000000003,-0.2630000000000001,1
632236.0,-0.0040000000000000036,-0.015000000000000013,-0.033999999999999975,0.025000000000000022,0.05299999999999999,0.37280157044990186,-0.04927106504157752,0.677,0.31799999999999984,0.5350000000000001,0.10099999999999998,-0.020000000000000018,0
632239.0,-0.01100000000000001,-0.0010000000000000009,-0.015000000000000013,-0.05399999999999999,-0.07700000000000001,0.4463685307040161,-0.17487803008562186,-0.7510000000000003,-0.10099999999999998,0.16500000000000004,0.040000000000000036,0.372,1
632235.0,0.025000000000000022,0.026000000000000023,0.06,0.015000000000000013,0.18100000000000005,0.7283534373908604,0.09794770763942018,-0.6689999999999996,-0.2829999999999999,-2.3260000000000005,-0.35599999999999987,-0.42700000000000005,1
632253.0,-0.006000000000000005,-0.0020000000000000018,-0.02999999999999997,-0.02300000000000002,-0.008999999999999952,0.3611111111111111,-0.13540431721669022,3.0599999999999996,0.6420000000000001,-0.24800000000000022,-0.016000000000000014,-0.1080000000000001,1
632245.0,0.02200000000000002,0.009000000000000008,0.026000000000000023,-0.013000000000000012,0.03799999999999998,0.5555928420678111,0.08511621898415789,-0.6219999999999999,-0.33799999999999997,-0.03699999999999992,-0.0020000000000000018,-0.06699999999999995,1
632237.0,-0.014999999999999986,-0.0010000000000000009,-0.01799999999999996,-0.0020000000000000018,-0.008000000000000007,0.5825213760190895,-0.04512428749904407,-2.8759999999999994,-0.544,-0.47199999999999953,-0.17100000000000004,0.06400000000000006,0
632243.0,0.014000000000000012,-0.0040000000000000036,-0.021999999999999964,-0.0020000000000000018,-0.020999999999999963,0.5060509978095389,-0.00716450460460627,5.354,0.44500000000000006,-0.050000000000000266,0.02200000000000002,-0.029000000000000137,0
